item,item_level,enchanting_level,result
accessory,0,0,fail
accessory,0,1,fail
accessory,0,2,fail
accessory,0,3,fail
accessory,0,4,fail
armor,5,5,win
armor,5,0,fail
weapon,9,14,fail
armor,5,1,win
armor,5,0,fail
armor,5,1,win
armor,5,0,fail
armor,5,1,win
armor,6,0,fail
armor,6,1,fail
armor,6,2,win
armor,6,0,fail
armor,6,1,win
armor,6,0,fail
armor,6,1,win
armor,6,0,win
armor,7,0,fail
armor,7,1,fail
armor,7,2,fail
armor,7,3,fail
armor,7,4,fail
armor,7,5,fail
armor,7,6,fail
armor,7,7,win
accessory,0,0,fail
accessory,0,1,fail
accessory,0,2,fail
armor,7,3,fail
armor,7,4,fail
armor,7,5,win
accessory,0,0,fail
accessory,0,1,fail
accessory,0,2,fail
armor,7,3,fail
armor,7,4,win
accessory,0,0,fail
accessory,0,1,fail
accessory,0,2,fail
armor,7,3,win
accessory,0,0,fail
accessory,0,1,win
accessory,0,0,fail
accessory,0,1,win
accessory,0,0,fail
accessory,0,1,fail
accessory,0,2,win
accessory,0,0,win
accessory,0,0,fail
accessory,0,1,fail
accessory,0,2,fail
weapon,7,3,fail
weapon,7,4,win
accessory,0,0,win
accessory,0,0,fail
accessory,0,1,win
accessory,0,0,fail
accessory,0,1,fail
accessory,0,2,fail
weapon,8,3,fail
weapon,8,4,win
accessory,0,0,win
accessory,0,0,fail
accessory,0,1,fail
accessory,0,2,fail
weapon,9,3,fail
weapon,9,4,win
accessory,0,0,fail
accessory,0,1,fail
accessory,0,2,win
accessory,0,0,fail
accessory,0,1,win
accessory,0,0,fail
accessory,0,1,fail
accessory,0,2,fail
accessory,1,3,fail
accessory,1,4,fail
armor,8,5,win
accessory,0,0,win
accessory,0,0,fail
accessory,0,1,fail
accessory,0,2,fail
accessory,1,3,win
accessory,0,0,win
accessory,0,0,win
accessory,0,0,fail
accessory,0,1,win
armor,8,5,fail
armor,8,6,win
accessory,0,0,fail
accessory,0,1,fail
accessory,0,2,fail
accessory,1,3,fail
accessory,1,4,fail
armor,8,5,fail
armor,8,6,fail
armor,8,7,fail
armor,8,8,win
accessory,0,0,fail
accessory,0,1,fail
accessory,0,2,fail
accessory,1,3,fail
accessory,1,4,fail
armor,8,5,fail
armor,8,6,win
accessory,0,0,fail
accessory,0,1,fail
accessory,0,2,win
accessory,0,0,fail
accessory,0,0,win
accessory,0,0,win
accessory,0,0,fail
accessory,0,1,fail
accessory,0,2,win
accessory,0,0,fail
accessory,0,1,fail
accessory,0,2,fail
accessory,1,3,fail
accessory,1,4,fail
armor,9,5,fail
armor,9,6,fail
armor,9,7,fail
armor,9,8,fail
armor,9,9,fail
weapon,10,10,fail
weapon,10,11,fail
weapon,10,12,fail
weapon,10,13,fail
weapon,10,14,win
accessory,0,0,fail
accessory,0,1,fail
accessory,1,2,fail
accessory,1,3,fail
cloth,0,4,fail
armor,9,5,fail
armor,9,6,fail
armor,9,7,fail
armor,9,8,fail
armor,9,9,fail
weapon,10,10,fail
weapon,10,11,fail
weapon,10,12,fail
weapon,10,13,fail
weapon,10,14,win
accessory,0,0,fail
accessory,0,1,fail
accessory,0,2,win
accessory,0,0,fail
accessory,0,1,fail
accessory,0,2,win
accessory,0,0,fail
accessory,0,1,win
accessory,0,0,fail
accessory,0,1,fail
accessory,1,2,fail
accessory,1,3,fail
cloth,0,4,fail
armor,9,5,fail
armor,9,6,win
accessory,0,0,win
accessory,0,0,fail
accessory,0,1,fail
accessory,1,2,fail
accessory,1,3,fail
cloth,0,4,win
accessory,0,0,win
accessory,0,0,fail
accessory,0,1,win
accessory,0,0,fail
accessory,0,1,win
accessory,0,0,fail
accessory,0,1,win
accessory,0,0,fail
accessory,0,1,win
accessory,0,0,fail
accessory,0,1,win
accessory,0,0,fail
accessory,0,1,fail
accessory,1,2,fail
accessory,1,3,fail
cloth,0,4,win
accessory,0,0,win
accessory,0,0,fail
accessory,0,1,fail
accessory,1,2,fail
accessory,1,3,fail
cloth,0,4,fail
armor,9,5,fail
armor,9,6,fail
armor,9,7,win
accessory,0,0,fail
accessory,0,1,win
accessory,0,0,win
accessory,0,0,fail
accessory,0,1,fail
accessory,1,2,fail
accessory,1,3,fail
cloth,0,4,win
accessory,0,0,win
accessory,0,0,fail
accessory,0,1,fail
accessory,1,2,fail
accessory,0,3,fail
cloth,0,4,win
accessory,0,0,win
accessory,0,0,fail
accessory,0,1,fail
accessory,1,2,fail
accessory,1,3,win
accessory,0,0,fail
accessory,0,1,fail
accessory,1,2,fail
accessory,1,3,fail
cloth,0,4,win
accessory,0,0,win
accessory,0,0,fail
accessory,0,1,fail
accessory,1,2,fail
accessory,1,3,fail
cloth,0,4,fail
armor,9,5,fail
armor,9,6,fail
armor,9,7,fail
armor,9,8,fail
armor,9,9,win
wagon part,0,0,win
accessory,0,0,win
accessory,0,0,fail
accessory,0,1,fail
accessory,1,2,fail
accessory,1,3,fail
cloth,0,4,win
armor,9,5,fail
armor,9,6,fail
armor,9,7,fail
armor,9,8,fail
armor,9,9,fail
weapon,10,10,fail
weapon,10,11,fail
weapon,10,12,fail
weapon,10,13,fail
weapon,10,14,fail
weapon,10,15,fail
weapon,10,16,fail
weapon,10,17,fail
weapon,10,18,fail
weapon,10,19,fail
accessory,0,0,fail
accessory,0,1,win
accessory,0,0,win
accessory,0,0,fail
accessory,0,1,win
accessory,0,0,win
accessory,0,0,win
accessory,0,0,fail
accessory,0,1,fail
accessory,1,2,fail
accessory,1,3,fail
accessory,0,4,fail
armor,9,5,fail
armor,9,6,fail
armor,9,7,fail
armor,9,8,fail
armor,9,9,fail
weapon,10,10,fail
weapon,10,11,fail
weapon,10,12,fail
weapon,10,13,fail
weapon,10,14,fail
weapon,10,15,fail
weapon,10,16,fail
weapon,10,17,fail
weapon,10,18,fail
weapon,10,19,fail
accessory,0,0,fail
accessory,0,1,fail
accessory,1,2,fail
accessory,1,3,fail
cloth,0,4,fail
accessory,0,0,win
accessory,0,0,fail
accessory,0,1,win
accessory,0,0,win
accessory,0,0,win
accessory,0,0,fail
accessory,0,1,fail
accessory,1,1,win
accessory,0,0,fail
accessory,0,1,win
accessory,0,0,win
accessory,0,0,win
accessory,0,0,fail
accessory,1,1,fail
accessory,1,2,fail
accessory,1,3,fail
cloth,1,4,fail
armor,10,5,fail
armor,10,6,fail
armor,10,7,fail
armor,10,8,fail
armor,10,9,fail
armor,10,10,fail
armor,10,11,fail
armor,10,12,fail
armor,10,13,fail
armor,10,14,fail
weapon,10,15,fail
weapon,10,16,fail
weapon,10,17,fail
weapon,10,18,fail
weapon,10,19,fail
accessory,0,0,fail
accessory,0,1,fail
accessory,1,2,fail
accessory,1,3,fail
armor,9,4,fail
armor,9,5,fail
armor,9,6,fail
armor,9,7,fail
armor,9,8,fail
armor,9,9,fail
accessory,0,0,fail
accessory,0,1,fail
accessory,1,2,fail
accessory,1,3,fail
armor,10,4,fail
armor,10,5,fail
armor,10,6,fail
armor,10,7,fail
armor,10,8,fail
armor,10,9,fail
armor,10,10,fail
armor,10,11,win
accessory,0,0,fail
accessory,0,1,fail
accessory,0,2,fail
accessory,1,3,fail
armor,10,4,fail
armor,10,5,fail
armor,10,6,fail
armor,10,7,fail
armor,10,8,fail
armor,10,9,fail
armor,10,10,fail
armor,10,11,win
accessory,0,0,fail
accessory,0,1,win
accessory,0,0,fail
accessory,0,1,fail
accessory,0,2,fail
accessory,0,3,win
accessory,0,0,win
accessory,0,0,fail
accessory,0,1,fail
accessory,1,2,win
accessory,0,0,fail
accessory,0,1,fail
accessory,0,2,fail
accessory,1,3,fail
cloth,0,4,fail
armor,10,5,fail
armor,10,6,fail
armor,10,7,fail
armor,10,8,fail
armor,10,9,fail
armor,10,10,fail
armor,10,11,fail
armor,10,12,fail
armor,10,13,fail
armor,10,14,fail
weapon,12,15,fail
weapon,12,16,win
weapon,13,20,fail
weapon,13,21,fail
weapon,13,22,fail
weapon,13,23,fail
weapon,13,24,fail
weapon,13,20,fail
weapon,13,21,fail
weapon,13,22,fail
weapon,13,23,fail
weapon,13,24,fail
weapon,13,20,fail
weapon,13,21,fail
weapon,13,22,fail
weapon,13,23,fail
weapon,13,24,fail
accessory,0,0,win
accessory,0,0,win
accessory,0,0,fail
accessory,0,1,fail
accessory,0,2,fail
accessory,1,3,win
accessory,0,0,fail
accessory,0,1,fail
accessory,2,2,fail
accessory,0,3,fail
cloth,0,4,fail
armor,10,5,fail
armor,10,6,fail
armor,10,7,fail
armor,10,8,win
accessory,0,0,fail
accessory,0,1,fail
accessory,0,2,win
accessory,0,0,fail
accessory,0,1,fail
accessory,1,1,win
accessory,0,0,fail
accessory,0,1,win
accessory,0,0,win
accessory,0,0,fail
accessory,0,1,fail
accessory,1,2,fail
accessory,2,3,fail
armor,10,4,fail
armor,10,5,fail
armor,10,6,fail
armor,10,7,fail
armor,10,8,fail
armor,10,9,fail
armor,10,10,fail
armor,10,11,fail
armor,10,12,fail
armor,10,13,fail
armor,10,14,fail
accessory,0,0,fail
accessory,0,1,win
accessory,0,0,fail
accessory,0,1,fail
accessory,0,2,fail
accessory,1,3,fail
armor,10,4,fail
armor,10,5,fail
armor,10,6,fail
armor,10,7,win
accessory,0,0,win
accessory,0,0,fail
accessory,0,1,fail
accessory,1,2,fail
accessory,2,3,fail
cloth,0,4,fail
armor,11,5,fail
armor,11,6,fail
armor,11,7,fail
armor,11,8,fail
armor,11,9,fail
armor,11,10,fail
armor,11,11,fail
armor,11,12,fail
armor,11,13,fail
armor,11,14,fail
weapon,14,15,fail
weapon,14,16,fail
weapon,14,17,fail
weapon,14,18,fail
weapon,14,19,fail
weapon,14,20,fail
weapon,14,21,fail
weapon,14,22,fail
weapon,14,23,win
weapon,14,26,win
armor,5,0,win
armor,5,0,win
armor,6,0,fail
armor,6,1,fail
armor,6,2,fail
armor,6,3,win
accessory,0,0,fail
accessory,0,1,fail
weapon,0,2,win
accessory,0,0,fail
accessory,0,1,win
accessory,0,0,win
accessory,0,0,fail
accessory,0,1,win
accessory,0,0,win
accessory,0,0,fail
accessory,0,1,win
accessory,0,0,fail
accessory,0,1,fail
accessory,1,2,fail
cloth,0,3,fail
cloth,0,4,fail
armor,6,0,win
armor,7,0,fail
armor,7,1,fail
armor,7,2,fail
armor,7,3,fail
armor,7,4,win
armor,7,0,fail
armor,7,1,win
weapon,8,0,win
armor,8,0,fail
armor,8,1,fail
armor,8,2,fail
armor,8,3,fail
armor,8,4,fail
armor,8,5,fail
armor,8,6,fail
armor,8,7,fail
armor,8,8,fail
weapon,9,9,win
armor,8,0,fail
armor,8,1,fail
armor,8,2,fail
armor,9,3,fail
armor,9,4,fail
armor,9,5,fail
armor,9,6,fail
armor,9,7,fail
armor,9,8,fail
armor,9,9,fail
weapon,10,10,win
armor,8,0,fail
armor,8,1,fail
armor,8,2,fail
armor,8,3,fail
armor,8,4,fail
armor,9,5,fail
armor,9,6,fail
armor,9,7,fail
armor,9,8,win
armor,8,0,fail
armor,8,1,fail
armor,8,2,fail
armor,8,3,win
armor,9,0,fail
armor,9,1,fail
armor,9,2,fail
armor,9,3,fail
weapon,11,4,fail
weapon,11,5,fail
weapon,11,6,fail
weapon,11,7,win
armor,5,5,win
accessory,0,0,fail
armor,5,1,win
accessory,0,0,fail
armor,5,1,fail
armor,5,2,win
accessory,1,0,fail
armor,5,1,win
accessory,2,0,fail
armor,6,1,win
armor,7,0,fail
armor,7,1,fail
armor,7,2,win
accessory,1,0,fail
accessory,1,1,fail
armor,6,2,fail
armor,6,3,fail
armor,6,4,fail
armor,6,5,win
armor,6,2,win
accessory,1,0,fail
accessory,1,1,win
accessory,1,0,fail
accessory,1,1,fail
armor,6,2,win
armor,7,0,fail
armor,7,1,fail
armor,7,2,win
accessory,1,0,fail
accessory,1,1,fail
armor,6,2,fail
armor,6,3,fail
armor,6,4,fail
armor,6,5,win
accessory,1,0,fail
accessory,1,1,fail
armor,7,2,fail
armor,7,3,fail
armor,7,4,win
armor,7,0,fail
armor,7,1,win
accessory,0,0,fail
armor,8,1,fail
armor,8,2,fail
armor,8,3,fail
armor,8,4,win
accessory,0,0,fail
armor,8,1,fail
armor,8,2,fail
armor,8,3,fail
armor,8,4,fail
armor,9,5,fail
armor,9,6,fail
armor,9,7,win
armor,8,0,fail
armor,8,1,win
armor,8,0,fail
armor,8,1,win
armor,8,0,fail
armor,8,1,fail
armor,8,2,fail
armor,8,3,fail
armor,8,4,win
armor,9,0,fail
armor,9,1,win
armor,9,0,fail
armor,9,1,fail
armor,9,2,fail
armor,9,3,fail
armor,9,4,fail
armor,10,5,fail
armor,10,6,fail
armor,10,7,fail
armor,10,8,fail
armor,10,9,fail
liverto,10,7,win
armor,9,0,fail
armor,9,1,fail
armor,9,2,fail
armor,9,3,fail
armor,9,4,fail
armor,10,5,fail
armor,10,6,fail
armor,10,7,fail
armor,10,8,fail
armor,10,9,fail
liverto,10,8,fail
armor,10,11,fail
armor,10,12,fail
armor,10,13,win
armor,9,0,win
armor,9,0,win
armor,10,0,fail
armor,10,1,fail
armor,10,2,fail
armor,10,3,win
armor,10,0,fail
armor,10,1,fail
armor,10,2,fail
armor,10,3,fail
armor,10,4,fail
armor,11,5,fail
armor,11,6,fail
armor,11,7,fail
armor,11,8,fail
armor,11,9,fail
armor,11,10,fail
armor,11,11,fail
armor,11,12,fail
armor,11,13,fail
liverto,13,8,win
armor,10,0,fail
armor,10,1,fail
armor,10,2,fail
armor,10,3,fail
armor,10,4,fail
armor,10,5,fail
armor,11,5,fail
armor,11,6,fail
armor,11,7,fail
armor,11,8,fail
armor,11,9,fail
armor,11,10,fail
armor,11,11,fail
armor,11,12,fail
armor,11,12,fail
liverto,9,13,fail
liverto,9,14,fail
liverto,9,15,fail
liverto,9,16,win
armor,10,0,fail
armor,10,1,fail
armor,10,2,fail
armor,10,3,fail
armor,10,4,fail
armor,10,5,fail
armor,10,6,fail
armor,11,7,fail
armor,11,8,fail
armor,11,9,fail
armor,11,10,win
armor,10,0,fail
armor,10,1,fail
armor,10,2,fail
armor,10,3,fail
armor,10,4,fail
armor,11,5,fail
armor,11,6,fail
armor,11,7,fail
armor,11,8,fail
armor,12,9,fail
armor,12,10,fail
armor,12,11,fail
armor,12,12,fail
armor,12,13,fail
armor,12,14,fail
accessory,1,15,fail
liverto,10,16,fail
liverto,10,17,fail
liverto,10,18,win
armor,10,0,fail
armor,10,1,fail
armor,10,2,fail
armor,10,3,fail
armor,10,4,win
armor,10,0,fail
armor,10,1,fail
armor,10,2,fail
armor,11,3,fail
armor,11,4,fail
armor,11,5,fail
armor,11,6,fail
armor,12,7,fail
armor,12,8,fail
armor,12,9,fail
armor,12,10,fail
armor,12,11,fail
armor,12,12,win
accessory,0,0,fail
accessory,0,1,fail
armor,10,2,fail
armor,10,3,fail
armor,10,4,fail
armor,10,5,fail
armor,10,6,fail
armor,10,7,fail
armor,10,8,fail
armor,13,9,fail
armor,13,10,fail
armor,13,11,fail
armor,13,12,fail
armor,10,13,fail
armor,10,14,fail
armor,10,15,fail
armor,10,16,fail
armor,10,17,fail
liverto,11,18,win
armor,10,0,fail
armor,10,1,win
armor,11,0,fail
armor,11,1,fail
armor,11,2,fail
armor,11,3,fail
armor,11,4,fail
armor,11,5,fail
armor,11,6,fail
armor,13,7,fail
armor,13,8,win
armor,11,0,fail
armor,11,1,fail
armor,11,2,fail
armor,11,4,fail
armor,11,5,fail
armor,11,6,win
accessory,0,0,fail
armor,11,1,fail
armor,11,2,fail
armor,11,3,fail
armor,11,3,fail
armor,11,5,fail
armor,11,6,fail
armor,11,8,fail
armor,11,9,fail
armor,14,10,fail
armor,14,11,fail
armor,14,12,fail
armor,14,13,fail
armor,14,14,fail
armor,14,15,fail
armor,14,16,win
armor,11,0,fail
armor,11,1,fail
armor,11,2,fail
armor,11,3,fail
armor,11,4,fail
armor,11,5,fail
armor,11,6,fail
armor,11,7,fail
armor,11,8,fail
armor,11,9,fail
armor,12,10,fail
armor,12,11,fail
armor,12,12,fail
armor,12,13,fail
armor,12,14,fail
armor,12,15,fail
armor,12,16,fail
armor,12,17,fail
armor,12,18,fail
armor,12,19,win
armor,11,0,fail
accessory,0,0,fail
accessory,0,1,fail
armor,11,2,fail
armor,11,3,fail
armor,11,4,fail
armor,11,5,fail
armor,11,6,fail
armor,11,7,fail
armor,11,8,fail
armor,11,9,fail
armor,13,10,fail
armor,13,11,fail
armor,13,12,fail
armor,13,13,fail
armor,13,14,win
accessory,0,0,fail
accessory,0,1,fail
armor,11,2,fail
armor,11,3,fail
armor,11,4,win
armor,11,1,fail
armor,11,2,fail
armor,11,3,fail
armor,11,4,fail
armor,11,5,fail
armor,11,6,fail
armor,11,7,fail
armor,11,8,win
armor,12,0,fail
armor,12,1,fail
armor,12,2,fail
armor,12,3,fail
armor,12,4,fail
armor,12,5,fail
armor,12,6,fail
armor,12,7,fail
armor,12,8,fail
armor,12,9,fail
armor,14,10,fail
armor,14,11,fail
armor,14,12,fail
armor,14,13,fail
armor,14,14,fail
armor,14,15,fail
armor,14,16,fail
armor,14,17,fail
armor,14,18,fail
armor,14,19,fail
liverto,13,20,fail
liverto,13,21,fail
liverto,13,22,fail
liverto,13,23,win
armor,12,0,fail
armor,12,1,win
liverto,14,25,fail
liverto,14,26,fail
liverto,14,27,win
weapon,7,0,fail
